sample_ID_SEG,sample_ID,Transect,Recipient,Donor,Gen,SegPos,Plant_ID,Sequence,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweight_mg_SEG,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,mean_seed_mass_mg,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
BO-140-G1-006-23R,BO-140-G1-006-23R-3,6,BO_140,BO_088,G1,23R,3,190,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,8.59,8.59,2,0,10,11,2,5,10,2.023,30.073,2023-04-21,30.073,2023-04-21,,,38.059,2.84,13.40105633802817,,0.07462098321027877,,-30.29,2.07,-30.29,2.07,1,1,1,1
BO-140-G1-008-10L,BO-140-G1-008-10L-1,8,BO_140,BO_088,G1,10L,1,234,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,1,0,0,0
BO-142-G1-001-18R,BO-142-G1-001-18R-3,1,BO_142,BO_189,G1,18R,3,18,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,2,1,0,0,3,0,0,,26.275,2023-05-05,26.275,2023-05-05,,,45.093,3.94,11.444923857868021,,0.08737498059565786,,,,,,1,1,1,0
BO-142-G1-010-8L,BO-142-G1-010-8L-1,10,BO_142,BO_189,G1,8L,1,287,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2,,,,,1,0,1,1,1,1,1,10.27,,,,,,,41.281,2.52,16.381349206349206,,0.06104503282381725,,-30.78,2.66,-30.78,2.66,1,1,1,1
BO-142-G2-010-2R,BO-142-G2-010-2R-5,10,BO_142,BO_189,G2,2R,5,281,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,2,3,,20.08,20.08,3,2,19,23,5,6.333333333,31.66666667,4.023684211,,,27.812,2023-04-21,,,31.081,1.6,19.425625,,0.05147839516103085,,-30.14,4.73,-30.14,4.73,1,1,1,1
BO-143-G1-002-11R,BO-143-G1-002-11R-2,2,BO_143,BO_033,G1,11R,2,51,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,1,,,3.31,3.31,0,3,0,0,3,,,,26.725,2023-04-21,26.725,2023-04-21,,,,,,,,,-31.03,1.81,-31.03,1.81,1,1,0,0
BO-143-G2-010-10R,BO-143-G2-010-10R-1,10,BO_143,BO_033,G2,10R,1,289,TRUE,2022-10-31,2022-11-03,2023-06-02,214,211,2023-06-02,0,,,1,,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,1,0,0,0
BO-144-G1-001-28L,BO-144-G1-001-28L-1,1,BO_144,BO_163,G1,28L,1,28,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,1,,,,,0,1,0,0,1,,,,25.945,2023-05-05,25.945,2023-05-05,,,,,,,,,,,,,1,1,0,0
BO-144-G1-002-18R,BO-144-G1-002-18R-4,2,BO_144,BO_163,G1,18R,4,58,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-15,41,1,,0,,,5,0,16,16,5,3.2,16,3.95125,27.615,2023-05-05,27.615,2023-05-05,,,,,,,,,-29.16,3.67,-29.16,3.67,1,1,1,1
BO-144-G1-008-25R,BO-144-G1-008-25R-5,8,BO_144,BO_163,G1,25R,5,249,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,1,1,,,,4,1,13,15,5,3.25,16.25,3.922698413,26.241,2023-04-21,26.241,2023-04-21,,,64.097,4.03,15.904962779156325,,0.06287345741610373,,-28.77,4.38,-28.77,4.38,1,1,1,1
