Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,sample_ID_SEG,sample_ID,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweight_mg_SEG,closed_fruits,open_fruits,filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,msm_all,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds,Cohort,Block,Replicated,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,days_germ2flower,corolla_area_mm2,corolla_area_mm2_SEG,Needed Area Redo,nonfitness_fruits,sd_msm_all,est_fecundity_int,surv_to_germ
2023,G2,1,2,HR_141,HR_044,1,FALSE,HR-044-G2-001-2R,HR-044-G2-001-2R-1,2R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,NA,9.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.625,2024-04-05,NA,NA,30.246,2.17,13.938248847926268,NA,0.07174502413542286,NA,NA,NA,-30.97,3.74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,2,HR_141,HR_044,2,TRUE,HR-044-G2-001-2R,HR-044-G2-001-2R-2,2R,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,9.65,9.65,2,0,3,5,2,1.5,3,2.386666667,NA,NA,22.625,2024-04-05,NA,NA,30.246,2.17,13.938248847926268,NA,0.07174502413542286,NA,-30.97,3.74,-30.97,3.74,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,2,HR_141,HR_044,3,FALSE,HR-044-G2-001-2R,HR-044-G2-001-2R-3,2R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-05-04,29,NA,NA,NA,NA,9.65,NA,NA,NA,NA,NA,NA,NA,NA,22.625,2024-04-05,22.625,2024-04-05,NA,NA,30.246,2.17,13.938248847926268,NA,0.07174502413542286,NA,NA,NA,-30.97,3.74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,2,HR_141,HR_044,4,FALSE,HR-044-G2-001-2R,HR-044-G2-001-2R-4,2R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-05-04,29,NA,NA,NA,NA,9.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.625,2024-04-05,30.246,2.17,30.246,2.17,13.938248847926268,13.938248847926268,0.07174502413542286,0.07174502413542286,NA,NA,-30.97,3.74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,2,HR_141,HR_044,5,FALSE,HR-044-G2-001-2R,HR-044-G2-001-2R-5,2R,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.625,2024-04-05,NA,NA,30.246,2.17,13.938248847926268,NA,0.07174502413542286,NA,NA,NA,-30.97,3.74,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,2,HR_189,HR_051,1,FALSE,HR-051-G1-001-2L,HR-051-G1-001-2L-1,2L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,NA,NA,NA,NA,58.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.898,2024-04-05,74.038,4.22,74.038,4.22,17.544549763033174,17.544549763033174,0.05699775790810125,0.05699775790810125,NA,NA,-30,4.06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,2,HR_189,HR_051,2,FALSE,HR-051-G1-001-2L,HR-051-G1-001-2L-2,2L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,NA,NA,NA,NA,58.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.898,2024-04-05,NA,NA,74.038,4.22,17.544549763033174,NA,0.05699775790810125,NA,NA,NA,-30,4.06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,2,HR_189,HR_051,3,FALSE,HR-051-G1-001-2L,HR-051-G1-001-2L-3,2L,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,NA,58.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.898,2024-04-05,NA,NA,74.038,4.22,17.544549763033174,NA,0.05699775790810125,NA,NA,NA,-30,4.06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,2,HR_189,HR_051,4,FALSE,HR-051-G1-001-2L,HR-051-G1-001-2L-4,2L,2022-11-10,2022-11-13,2024-04-05,512,509,2024-05-04,29,NA,NA,NA,NA,58.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.898,2024-04-05,NA,NA,74.038,4.22,17.544549763033174,NA,0.05699775790810125,NA,NA,NA,-30,4.06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,2,HR_189,HR_051,5,TRUE,HR-051-G1-001-2L,HR-051-G1-001-2L-5,2L,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,58.64,58.64,9,2,19,31,11,2.111111111,23.22222222,2.068285714,22.898,2024-04-05,22.898,2024-04-05,NA,NA,74.038,4.22,17.544549763033174,NA,0.05699775790810125,NA,-30,4.06,-30,4.06,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,3,HR_069,HR_108,1,TRUE,HR-108-G2-001-3R,HR-108-G2-001-3R-1,3R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,10.76,10.76,3,0,3,4,3,1,3,3.1725,NA,NA,16.511,2024-04-05,NA,NA,53.667,3.12,17.200961538461538,NA,0.05813628486779585,NA,-29.87,3.28,-29.87,3.28,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,3,HR_069,HR_108,2,FALSE,HR-108-G2-001-3R,HR-108-G2-001-3R-2,3R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,10.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.511,2024-04-05,NA,NA,53.667,3.12,17.200961538461538,NA,0.05813628486779585,NA,NA,NA,-29.87,3.28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,3,HR_069,HR_108,3,FALSE,HR-108-G2-001-3R,HR-108-G2-001-3R-3,3R,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.511,2024-04-05,NA,NA,53.667,3.12,17.200961538461538,NA,0.05813628486779585,NA,NA,NA,-29.87,3.28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,3,HR_069,HR_108,4,FALSE,HR-108-G2-001-3R,HR-108-G2-001-3R-4,3R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,10.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.511,2024-04-05,53.667,3.12,53.667,3.12,17.200961538461538,17.200961538461538,0.05813628486779585,0.05813628486779585,NA,NA,-29.87,3.28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,3,HR_069,HR_108,5,FALSE,HR-108-G2-001-3R,HR-108-G2-001-3R-5,3R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,NA,10.76,NA,NA,NA,NA,NA,NA,NA,NA,16.511,2024-04-05,16.511,2024-04-05,NA,NA,53.667,3.12,17.200961538461538,NA,0.05813628486779585,NA,NA,NA,-29.87,3.28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,3,HR_095,HR_178,1,FALSE,HR-178-G2-001-3L,HR-178-G2-001-3L-1,3L,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.678,2.2,17.58090909090909,NA,0.05687988003516212,NA,NA,NA,-30.53,3.58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,3,HR_095,HR_178,2,FALSE,HR-178-G2-001-3L,HR-178-G2-001-3L-2,3L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,NA,NA,NA,NA,25.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.678,2.2,17.58090909090909,NA,0.05687988003516212,NA,NA,NA,-30.53,3.58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,3,HR_095,HR_178,3,FALSE,HR-178-G2-001-3L,HR-178-G2-001-3L-3,3L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,NA,NA,NA,NA,25.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.678,2.2,38.678,2.2,17.58090909090909,17.58090909090909,0.05687988003516212,0.05687988003516212,NA,NA,-30.53,3.58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
