Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,sample_ID_SEG,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweight_mg_SEG,closed_fruits,open_fruits,filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,msm_all,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds,Cohort,Block,Replicated,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,days_germ2flower,corolla_area_mm2,corolla_area_mm2_SEG,nonfitness_fruits,sd_msm_all,est_fecundity_int,surv_to_germ
2023,G2,6,180,AC_156,AC_016,4,FALSE,AC-016-G2-006-1R,1R,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.503,2023-05-12,NA,NA,31.654,1.8,17.585555555555555,NA,0.05686485120363935,NA,NA,NA,-31.61,4.36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,6,180,AC_156,AC_016,5,FALSE,AC-016-G2-006-1R,1R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,NA,91.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.503,2023-05-12,31.654,1.8,31.654,1.8,17.585555555555555,17.585555555555555,0.05686485120363935,0.05686485120363935,NA,NA,-31.61,4.36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,180,AC_150,AC_083,1,FALSE,AC-083-G1-006-1L,1L,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,NA,4.31,NA,NA,NA,NA,NA,NA,NA,NA,21.953,2023-05-12,21.953,2023-05-12,20.295,1.57,20.295,1.57,12.92675159235669,12.92675159235669,0.0773589554077359,0.0773589554077359,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,180,AC_150,AC_083,2,FALSE,AC-083-G1-006-1L,1L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.953,2023-05-12,NA,NA,20.295,1.57,12.92675159235669,NA,0.0773589554077359,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,180,AC_150,AC_083,3,FALSE,AC-083-G1-006-1L,1L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.953,2023-05-12,NA,NA,20.295,1.57,12.92675159235669,NA,0.0773589554077359,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,180,AC_150,AC_083,4,FALSE,AC-083-G1-006-1L,1L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.953,2023-05-12,NA,NA,20.295,1.57,12.92675159235669,NA,0.0773589554077359,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,180,AC_150,AC_083,5,TRUE,AC-083-G1-006-1L,1L,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,1900-01-01,NA,NA,4.31,4.31,1,0,0,3,1,0,0,NA,NA,NA,21.953,2023-05-12,NA,NA,20.295,1.57,12.92675159235669,NA,0.0773589554077359,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,181,AC_071,AC_115,1,FALSE,AC-115-G1-006-2L,2L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,NA,51.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.805,2024-04-28,NA,NA,29.08,1.44,20.194444444444443,NA,0.04951856946354884,NA,NA,NA,-30.62,2.71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,181,AC_071,AC_115,2,FALSE,AC-115-G1-006-2L,2L,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,NA,51.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.805,2024-04-28,29.08,1.44,29.08,1.44,20.194444444444443,20.194444444444443,0.04951856946354884,0.04951856946354884,NA,NA,-30.62,2.71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,6,181,AC_071,AC_115,3,FALSE,AC-115-G1-006-2L,2L,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-26,14,NA,NA,NA,NA,51.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.805,2024-04-28,NA,NA,29.08,1.44,20.194444444444443,NA,0.04951856946354884,NA,NA,NA,-30.62,2.71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
