traits,Va_mat,Va_sd_mat,Va_pat,Va_sd_pat,Vp,Vp_sd,h2
corolla_diam_mm,0.9121428497415175,0.9550616994422494,0.5016045621240213,0.7082404691374401,16.47734750402416,4.05922991514698,0.03044206975676865
skel_biomass_mg,7.476577394277319e-12,2.7343330803465254e-6,169.22161731679597,13.008520950392322,2514.7044614334004,50.14682902670318,0.0672928449096314
delta Carbon 13,0,0,0.10537720874811553,0.32461855884732704,1.4362064606959333,1.198418316238505,0.07337190830979383
estimated fecundity,0.02518096573587581,0.15868511504194655,0,0,1.5393078104426927,1.2406884421331137,0
LMA,1.748226198364869e-5,0.004181179496702897,1.2348712405477567e-5,0.003514073477529684,2.7125625489584856e-4,0.01646985898226966,0.0455241572594113
mean seed mass,0,0,0.014592602902952887,0.12079984645252198,0.19686236586946865,0.44369174645182285,0.07412591451140359
SLA,0.006741797462217537,0.08210844939601245,0.0028482312386762213,0.05336882272147495,0.06696376607985015,0.2587735807223182,0.04253391655540822
