traits,V_mat,V_sd_mat,Va_mat,V_pat,V_sd_pat,Va_pat,Vp,Vp_sd,h2,n_obs
corolla_diameter,0.55,0.7416,2.2,0.07157,0.2675,1.145,11.84,3.44,0.09675,275
skel_biomass_mg,0.0606,0.2462,0.2424,0.009706,0.09852,0.1553,1.174,1.084,0.1322,347
flowering duration,805.5,28.38,3222,43.29,6.58,692.7,16700,129.2,0.04147,368
LMA,NA,NA,NA,7.825e-6,0.002797,1.252e-4,NA,NA,NA,174
SLA,NA,NA,NA,0.002561,0.0506,0.04097,NA,NA,NA,174
delta_C_13,0.0239,0.1546,0.0956,0.005659,0.07523,0.09054,0.7044,0.8393,0.1285,311
