Year,Gen,Location,Sequence,Donor,Recipient,Plant_ID,F_plant,sample_ID,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_06,FD_07,FD_08,FD_09,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweight_mg_SEG,closed_fruits,open_fruits,filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,latitude_SEG,longitude_SEG,msm_all,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,sample_ID_SEG,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitpod,prod_closed_fruits,prod_filled_seeds,Cohort,Block,Replicated,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,days_germ2flower,corolla_area_mm2,corolla_area_mm2_SEG,Needed Area Redo,...36,nonfitness_fruits,sd_msm_all,est_fecundity_int,surv_to_germ
2023,G1,1,2,BB_091,BB_098,1,FALSE,BB-098-G1-001-2L-1,2L,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-098-G1-001-2L,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,2,BB_091,BB_098,2,FALSE,BB-098-G1-001-2L-2,2L,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-098-G1-001-2L,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,2,BB_091,BB_098,3,FALSE,BB-098-G1-001-2L-3,2L,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-098-G1-001-2L,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,2,BB_091,BB_098,4,FALSE,BB-098-G1-001-2L-4,2L,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-098-G1-001-2L,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,2,BB_091,BB_098,5,FALSE,BB-098-G1-001-2L-5,2L,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-098-G1-001-2L,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,2,BB_171,BB_157,1,FALSE,BB-157-G1-001-2R-1,2R,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-157-G1-001-2R,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,2,BB_171,BB_157,2,FALSE,BB-157-G1-001-2R-2,2R,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-157-G1-001-2R,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,2,BB_171,BB_157,3,FALSE,BB-157-G1-001-2R-3,2R,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-157-G1-001-2R,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,2,BB_171,BB_157,4,FALSE,BB-157-G1-001-2R-4,2R,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-157-G1-001-2R,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,2,BB_171,BB_157,5,FALSE,BB-157-G1-001-2R-5,2R,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.31522,-123.06908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-157-G1-001-2R,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
