traits,Va_mat,Va_sd_mat,Va_pat,Va_sd_pat,Vp,Vp_sd,h2
corolla_diam_mm,4.79341103161704e-16,2.189385994204092e-8,0.2958648230295361,0.5439345760562901,8.631962196031022,2.938020114980669,0.034275500321998026
skel_biomass_mg,5.6278786847202715e-5,0.007501918877674079,0,0,0.665949895379157,0.8160575319051697,0
delta Carbon 13,0.016693434172157247,0.12920307338510661,0.04833720376699841,0.21985723496623533,0.5539393154189957,0.7442709959544277,0.08726082879753083
estimated fecundity,0,0,0,0,1.6913689686311817,1.3005264198128317,0
LMA,1.0869326554363256e-6,0.0010425606243458102,0,0,2.0004106088775128e-4,0.0141435872708359,0
mean seed mass,0.006685619685619401,0.08176563878316735,0.002342791399936534,0.04840239043618129,0.083868378199349225,0.2896003767251507,0.027934144551691267
SLA,5.69695802115446e-4,0.02386830119877504,0,0,0.05147409408253333,0.22687902962268974,0
