,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes
9,G1,BO_143,BO_195,20R,,,,,,
9,G2,BO_069,BO_043,21L,3,25.527,189,fold >5%,2.34,
9,G1,BO_185,BO_085,21R,5,36.802,185,,2.43,
9,G1,BO_033,BO_143,22L,,,,,,
9,G2,BO_001,BO_025,22R,5,43.697,186,,2.46,
9,G1,BO_073,BO_186,23L,2,29.41,149,,1.77,
9,G1,BO_188,BO_052,23R,3,22.834,186,,1.3,
9,G2,BO_029,BO_061,24L,3,99.027,162,,6.29,
9,G1,BO_149,BO_106,24R,1,13.584,181,,0.81,
9,G1,BO_170,BO_111,25L,,,,,,
9,G1,BO_022,BO_009,25R,3,36.495,165,,1.86,
9,G1,BO_029,BO_090,26L,,,,,,
9,G2,BO_106,BO_131,26R,,,,,,
9,G2,BO_192,BO_166,27L,5,63.398,158,,3.69,
9,G1,BO_088,BO_169,27R,2,52.569,160,,3.45,
9,G1,BO_151,BO_167,28L,,,,,,
9,G1,BO_040,BO_067,28R,,,,,,
9,G2,BO_069,BO_145,29L,,,,,,
9,G1,BO_058,BO_123,29R,,,,,,
9,G2,BO_039,BO_102,30L,,,,,,
9,G2,BO_199,BO_018,30R,1,30.43,174,,1.62,
10,G1,BO_173,BO_091,1L,,,,,,
10,G2,BO_173,BO_079,1R,,,,,,
10,G2,BO_070,BO_184,2L,2,46.509,173,,3.66,
10,G2,BO_189,BO_142,2R,2,31.081,164,,1.6,
10,G2,BO_070,BO_184,3L,,,,,,
10,G2,BO_201,BO_199,3R,4,15.982,159,image low quality,1.43,
10,G2,BO_038,BO_137,4L,,,,,,
10,G1,BO_070,BO_184,4R,2,24.551,167,,2.23,
10,G1,BO_005,BO_122,5L,,,,,,
10,G1,BO_074,BO_047,5R,,,,,,
10,G2,BO_149,BO_032,6L,3,19.848,144,,2.02,
10,G1,BO_188,BO_052,6R,,,,,,
10,G2,BO_065,BO_115,7L,1,28.632,157,,1.51,
10,G1,BO_038,BO_149,7R,2,27.692,162,,1.75,
10,G1,BO_189,BO_142,8L,4,41.281,148,,2.52,
10,G1,BO_119,BO_013,8R,,,,,,
10,G1,BO_005,BO_019,9L,5,16.294,175,,0.96,
10,G2,BO_162,BO_089,9R,5,48.265,148,,3.39,
10,G2,BO_192,BO_127,10L,,,,,,
10,G2,BO_033,BO_143,10R,,,,,,
10,G2,BO_170,BO_055,11L,,,,,,
10,G1,BO_143,BO_152,11R,,,,,,
10,G2,BO_168,BO_180,12L,1,34.176,178,,2.02,
10,G1,BO_188,BO_008,12R,5,89.51,152,,6.54,
10,G1,BO_088,BO_169,13L,,,,,,
10,G1,BO_128,BO_060,13R,1,20.525,139,,1.41,
10,G1,BO_109,BO_095,14L,1,102.778,166,,5.29,
10,G1,BO_096,BO_012,14R,3,31.505,187,,1.81,
10,G2,BO_188,BO_154,15L,,,,,,
10,G2,BO_194,BO_125,15R,4,43.83,157,,2.87,
10,G1,BO_022,BO_146,16L,5,67.679,174,,3.98,
10,G2,BO_038,BO_137,16R,,,,,,
10,G1,BO_001,BO_151,17L,,,,,,
10,G2,BO_173,BO_079,17R,3,44.683,178,,2.21,
10,G1,BO_032,BO_096,18L,,,,,,
10,G1,BO_073,BO_186,18R,4,29.508,158,,1.59,
10,G1,BO_073,BO_070,19L,,,,,,
10,G1,BO_162,BO_108,19R,4,25.973,157,,2.16,
10,G2,BO_119,BO_017,20L,,,,,,
10,G1,BO_201,BO_130,20R,,,,,,
10,G1,BO_162,BO_108,21L,,,,,,
10,G2,BO_001,BO_151,21R,,,,,,
10,G2,BO_109,BO_001,22L,1,30.449,170,,1.44,
10,G2,BO_074,BO_118,22R,,,,,,
10,G1,BO_194,BO_037,23L,5,22.087,197,,1.06,
10,G1,BO_194,BO_098,23R,1,8.791,198,,0.09,
10,G2,BO_033,BO_099,24L,,,,,,
10,G2,BO_001,BO_025,24R,1,33.761,160,,2.25,
10,G1,BO_198,BO_100,25L,,,,,,
10,G2,BO_153,BO_177,25R,2,41,185,,1.68,
10,G1,BO_070,BO_184,26L,4,15.739,142,,0.99,
10,G1,BO_040,BO_171,26R,5,33.046,167,,2.09,
10,G2,BO_096,BO_134,27L,,,,,,
10,G1,BO_183,BO_063,27R,,,,,,
10,G1,BO_005,BO_176,28L,2,41.943,170,,1.7,
10,G1,BO_096,BO_178,28R,,,,,,
10,G1,BO_069,BO_145,29L,,,,,,
10,G1,BO_168,BO_180,29R,3,11.394,176,,0.61,
10,G2,BO_032,BO_088,30L,5,38.259,161,,2.24,
10,G1,BO_199,BO_018,30R,5,37.418,146,,2.67,
10,G1,BO_188,BO_154,31L,,,,,,
