Location,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes
92,G1,BB_144,BB_158,275R,,,,,,
92,G1,BB_162,BB_080,276L,,,,,,
92,G1,BB_099,BB_061,276R,,,,,,
93,G1,BB_038,BB_216,277L,,,,,,
93,G2,BB_107,BB_179,277R,,,,,,
93,G2,BB_198,BB_045,278L,,,,,,
93,G1,BB_197,BB_060,278R,3,24.326,66,low quality photo,1.27,
93,G1,BB_167,BB_110,279L,,,,,,
93,G1,BB_194,BB_214,279R,,,,,,
94,G2,BB_176,BB_017,280L,,,,,,
94,G2,BB_130,BB_120,280R,,,,,,
94,G1,BB_202,BB_018,281L,,,,,,
94,G1,BB_130,BB_048,281R,,,,,,
94,G2,BB_130,BB_048,282L,,,,,,
94,G2,BB_197,BB_060,282R,,,,,,
95,G1,BB_175,BB_050,283L,2,26.86,110,,1.9,
95,G1,BB_015,BB_111,283R,,,,,,
95,G1,BB_026,BB_053,284L,,,,,,
95,G1,BB_099,BB_161,284R,,,,,,
95,G1,BB_115,BB_187,285L,,,,,,
95,G1,BB_169,BB_181,285R,,,,,,
96,G1,BB_023,BB_190,286L,,,,,,
96,G1,BB_023,BB_190,286R,,,,,,
96,G1,BB_194,BB_163,287L,3,35.184,97,,2.01,
96,G1,BB_108,BB_097,287R,5,39.339,90,,2.46,
96,G1,BB_055,BB_145,288L,5,60.47,101,,2.49,
96,G2,BB_213,BB_147,288R,2,62.034,108,,2.36,
97,G1,BB_057,BB_146,289L,1,40.93,90,,3.35,
97,G1,BB_122,BB_208,289R,4,41.728,84,,2.26,
97,G2,BB_107,BB_179,290L,,,,,,
97,G1,BB_075,BB_164,290R,,,,,,
97,G1,BB_141,BB_037,291L,1,77.391,117,,4.87,
97,G2,BB_066,BB_052,291R,2,81.711,70,,7.54,
98,G1,BB_051,BB_105,292L,,,,,,
98,G1,BB_188,BB_205B,292R,3,21.311,110,leaf is folded,1.94,
98,G1,BB_091,BB_094,293L,,,,,,
98,G1,BB_215,BB_148,293R,3,36.304,100,,2.82,
98,G1,BB_108,BB_069,294L,,,,,,
98,G1,BB_066,BB_087,294R,,,,,,
99,G2,BB_197,BB_060,295L,,,,,,
99,G2,BB_198,BB_138,295R,,,,,,
99,G1,BB_011,BB_056,296L,,,,,,
99,G1,BB_073,BB_092,296R,,,,,,
99,G1,BB_198,BB_035,297L,,,,,,
99,G1,BB_144,BB_207,297R,,,,,,
100,G1,BB_168,BB_081,298L,4,50.245,108,,2.79,
100,G2,BB_066,BB_087,298R,,,,,,
100,G2,BB_196,BB_088,299L,,,,,,
100,G1,BB_051,BB_143,299R,,,,,,
100,G1,BB_176,BB_049,300L,,,,,,
100,G1,BB_057,BB_121,300R,,,,,,
101,G2,BB_174,BB_002,301L,2,54.226,113,,2.64,
101,G1,BB_213,BB_132,301R,2,45.552,113,,4.81,
101,G1,BB_075,BB_085,302L,,,,,,
101,G2,BB_005,BB_166,302R,,,,,,
101,G2,BB_142,BB_150,303L,,,,,,
101,G1,BB_130,BB_007,303R,5,173.108,110,,6.72,
102,G1,BB_011,BB_215,304L,3,106.914,102,,6.84,
102,G1,BB_099,BB_061,304R,4,66.488,89,,5.92,
102,G2,BB_091,BB_098,305L,2,62.52,95,,4.61,
102,G1,BB_028,BB_083,305R,,,,,,
102,G1,BB_115,BB_187,306L,,,,,,
102,G2,BB_167,BB_114,306R,,,,,,
103,G1,BB_100,BB_113,307L,2,58.9,94,,2.51,
103,G1,BB_108,BB_069,307R,,,,,,
103,G1,BB_196,BB_186,308L,5,146.732,93,,7.86,
103,G2,BB_028,BB_209,308R,3,48.802,114,,3.72,
103,G2,BB_115,BB_020,309L,1,32.903,116,,2.73,
103,G2,BB_038,BB_149,309R,,,,,,
104,G1,BB_057,BB_200,310L,,,,,,
104,G1,BB_167,BB_008,310R,,,,,,
104,G1,BB_215,BB_148,311L,,,,,,
104,G1,BB_005,BB_195,311R,,,,,,
104,G1,BB_213,BB_204,312L,,,,,,
104,G2,BB_162,BB_080,312R,2,93.237,136,,4.31,
105,G1,BB_174,BB_068,313L,,,,,,
105,G2,BB_198,BB_045,313R,,,,,,
105,G1,BB_028,BB_109,314L,4,84.16,142,,2.85,
105,G1,BB_202,BB_101,314R,,,,,,
105,G1,BB_107,BB_123,315L,,,,,,
105,G2,BB_107,BB_151,315R,,,,,,
106,G1,BB_122,BB_126,316L,2,137.404,160,,6.72,
106,G1,BB_038,BB_042,316R,,,,,,
106,G2,BB_202,BB_018,317L,5,83.642,177,,3.16,
106,G1,BB_023,BB_206,317R,,,,,,
106,G1,BB_001,BB_043,318L,,,,,,
106,G1,BB_051,BB_118,318R,,,,,,
107,G1,BB_051,BB_105,319L,,,,,,
107,G1,BB_015,BB_218,319R,,,,,,
107,G1,BB_169,BB_160,320L,,,,,,
107,G2,BB_015,BB_111,320R,,,,,,
107,G1,BB_038,BB_216,321L,,,,,,
107,G1,BB_125,BB_024,321R,4,68.391,153,,4.09,
108,G1,BB_144,BB_030,322L,1,60.394,152,,4.7,
