`,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes,Perimeter  (mm),,
4,G2,HR_135,HR_004,43L,,,,,,,,,
4,G1,HR_064,HR_028,43R,,,,,,,,,
4,G2,HR_095,HR_124,44L,1,36.972,153,,2.17,,69.334,,
4,G2,HR_195,HR_181,44R,,,,,,,,,
4,G2,HR_005,HR_180,45L,,,,,,,,,
4,G1,HR_149,HR_065,45R,,,,,,,,,
5,G2,HR_147,HR_118,1L,,,,,,,,,
5,G1,HR_175,HR_196,1R,,,,,,,,,
5,G1,HR_034,HR_112,2L,,,,,,,,,
5,G1,HR_164,HR_201,2R,,,,,,,,,
5,G1,HR_002,HR_059,3L,2,26.708,152,,1.83,,63.536,,
5,G1,HR_006,HR_146,3R,,,,,,,,,
5,G2,HR_002,HR_071,4L,,,,,,,,,
5,G2,HR_027,HR_145,4R,,,,,,,,,
5,G1,HR_141,HR_044,5L,,,,,,,,,
5,G1,HR_066,HR_078,5R,,,,,,,,,
5,G1,HR_200,HR_153,6L,,,,,,,,,
5,G1,HR_196,HR_054,6R,1,29.262,167,,1.64,,53.451,,
5,G1,HR_121,HR_139,7L,,,,,,,,,
5,G1,HR_090,HR_126,7R,,,,,,,,,
5,G1,HR_070,HR_061,8R,,,,,,,,,
5,G1,HR_090,HR_053,9L,,,,,,,,,
5,G1,HR_064,HR_028,9R,5,19.351,166,,0.94,,44.075,,
5,G2,HR_059,HR_011,10L,2,36.512,162,,1.88,,71.126,,
5,G1,HR_156,HR_197,10R,,,,,,,,,
5,G1,HR_196,HR_170,11L,,,,,,,,,
5,G1,HR_171,HR_073,11R,,,,,,,,,
5,G2,HR_070,HR_061,12L,,,,,,,,,
5,G1,HR_160,HR_173,13L,1,96.86,175,,5.08,,139.436,,
5,G1,HR_160,HR_079,13R,,,,,,,,,
5,G2,HR_200,HR_159,14L,,,,,,,,,
5,G1,HR_066,HR_137,14R,,,,,,,,,
5,G1,HR_160,HR_173,15L,3,25.8,150,,1.42,,57.292,,
5,G2,HR_171,HR_057,15R,,,,,,,,,
5,G1,HR_121,HR_141,16L,,,,,,,,,
5,G1,HR_008,HR_012,16R,,,,,,,,,
5,G1,HR_057,HR_110,17L,,,,,,,,,
5,G2,HR_008,HR_042,17R,,,,,,,,,
5,G2,HR_090,HR_103,18L,,,,,,,,,
5,G1,HR_157,HR_085,18R,,,,,,,,,
5,G1,HR_059,HR_155,19L,2,23.489,149,,1.16,,55.128,,
5,G2,HR_008,HR_042,19R,,,,,,,,,
5,G1,HR_005,HR_040,20L,,,,,,,,,
5,G2,HR_070,HR_165,20R,,,,,,,,,
5,G2,HR_100,HR_192,21L,1,50.334,161,,2.56,,90.511,,
5,G1,HR_180,HR_179,21R,2,33.124,158,,1.67,,53.916,,
5,G2,HR_148,HR_109,22L,,,,,,,,,
5,G1,HR_121,HR_141,22R,,,,,,,,,
5,G2,HR_069,HR_108,23L,,,,,,,,,
5,G1,HR_110,HR_037,23R,3,29.386,130,,1.73,,51.917,,
5,G1,HR_168,HR_101,24L,2,11.16,145,,0.83,,31.413,,
5,G2,HR_135,HR_004,24R,,,,,,,,,
5,G2,HR_095,HR_124,25L,3,15.072,173,,1.15,,33.033,,
5,G2,HR_141,HR_184,25R,2,21.157,154,,1.16,,42.494,,
5,G1,HR_053,HR_092,26L,5,27.085,168,,1.64,,44.622,,
5,G2,HR_189,HR_168,26R,5,54.115,160,,3.05,,98.887,,
5,G2,HR_147,HR_150,27L,3,22.603,177,,1.07,,47.658,,
5,G1,HR_005,HR_040,27R,4,16.47,168,,0.93,,33.97,,
5,G2,HR_085,HR_035,28R,1,24.965,123,,1.44,,43.561,,
5,G2,HR_196,HR_054,29L,1,39.009,164,,1.97,,66.663,,
5,G1,HR_148,HR_114,29R,3,51.634,157,,3.14,,74.373,,
5,G1,HR_141,HR_184,30L,1,17.589,160,,1.14,,39.783,,
