Transect,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes,Perimeter
7,G2,AC_097,AC_054,13R,,,,,,,
7,G1,AC_186,AC_048,14L,,,,,,,
7,G2,AC_091,AC_189,14R,,,,,,,
7,G2,AC_161,AC_088,15L,,,,,,,
7,G2,AC_002,AC_122,15R,,,,,,,
7,G2,AC_094,AC_217,16L,,,,,,,
7,G2,AC_198,AC_072,16R,1,64.204,182,,,,
7,G1,AC_094,AC_217,17L,,,,,,,
7,G1,AC_198,AC_066,17R,,,,,,,
7,G1,AC_008,AC_092,18L,,,,,,,
7,G2,AC_168,AC_159,18R,,,,,,,
7,G2,AC_186,AC_153,19L,,,,,,,
7,G2,AC_054,AC_155,19R,,,,,,,
7,G2,AC_150,AC_110,20L,2,43.553,169,,3.84,,
7,G1,AC_052,AC_212,20R,,,,,,,
7,G1,AC_064,AC_017,21L,,,,,,,
7,G2,AC_064,AC_017,21R,1,25.231,164,,1.7,,
7,G2,AC_198,AC_051,22L,,,,,,,
7,G2,AC_064,AC_086,22R,,,,,,,
7,G2,AC_002,AC_104,23L,,,,,,,
7,G2,AC_089,AC_057,23R,5,41.376,145,,3.4,,
7,G1,AC_091,AC_218,24L,,,,,,,
7,G2,AC_007,AC_081,24R,5,23.308,170,,1.38,,
7,G1,AC_179,AC_114,25L,,,,,,,
7,G2,AC_168,AC_010,25R,,,,,,,
7,G2,AC_207,AC_082,26L,,,,,,,
7,G1,AC_008,AC_092,26R,,,,,,,
7,G2,AC_170,AC_203,27L,,,,,,,
7,G2,AC_064,AC_017,27R,,,,,,,
7,G1,AC_045,AC_151,28L,,,,,,,
7,G2,AC_091,AC_189,28R,,,,,,,
7,G2,AC_102,AC_178,29L,,,,,,,
7,G1,AC_094,AC_216,29R,3,22.899,166,,1.61,,
7,G2,AC_045,AC_096,30L,,,,,,,
7,G1,AC_159,AC_192,30R,,,,,,,
7,G2,AC_179,AC_114,31L,,,,,,,
7,G2,AC_045,AC_123,31R,,,,,,,
7,G2,AC_150,AC_083,32L,,,,,,,
7,G2,AC_216,AC_034,32R,,,,,,,
7,G2,AC_094,AC_216,33L,,,,,,,
7,G1,AC_169,AC_075,33R,,,,,,,
7,G1,AC_177,AC_107,34L,,,,,,,
7,G1,AC_207,AC_082,34R,,,,,,,
7,G1,AC_015,AC_097,35L,,,,,,,
7,G2,AC_177,AC_211,35R,4,45.408,164,,3.1,,
7,G2,AC_061,AC_052,36L,,,,,,,
7,G2,AC_124,AC_030,36R,,,,,,,
8,G2,AC_195,AC_193,1L,3,57.105,148,,3.27,,
8,G1,AC_186,AC_011,1R,2,45.403,161,,2.97,,
8,G2,AC_125,AC_038,2L,,,,,,,
8,G2,AC_102,AC_191,2R,5,55.731,152,,3.34,,
8,G2,AC_039,AC_148,3L,,,,,,,
8,G1,AC_125,AC_038,3R,3,22.03,163,,1.3,,
8,G2,AC_103,AC_144,4L,,,,,,,
8,G2,AC_068,AC_089,4R,,,,,,,
8,G1,AC_052,AC_131,5L,,,,,,,
8,G2,AC_091,AC_218,5R,,,,,,,
8,G1,AC_165,AC_206,6L,3,45.604,162,,3.56,,
8,G1,AC_160,AC_186,6R,,,,,,,
8,G2,AC_039,AC_148,7L,,,,,,,
8,G2,AC_089,AC_057,7R,,,,,,,
8,G1,AC_177,AC_211,8L,5,69.425,164,,5.14,,
8,G2,AC_064,AC_017,8R,,,,,,,
8,G2,AC_170,AC_185,9L,5,39.391,169,,2.44,,
8,G2,AC_107,AC_172,9R,,,,,,,
8,G2,AC_124,AC_100,10L,,,,,,,
8,G2,AC_168,AC_142,10R,4,35.015,149,,3.55,,
8,G1,AC_091,AC_204,11L,,,,,,,
8,G2,AC_052,AC_212,11R,,,,,,,
8,G2,AC_198,AC_066,12L,,,,,,,
8,G1,AC_198,AC_072,12R,,,,,,,
8,G2,AC_002,AC_104,13L,,,,,,,
8,G1,AC_207,AC_082,13R,,,,,,,
8,G1,AC_195,AC_193,14L,,,,,,,
8,G1,AC_096,AC_074,14R,,,,,,,
8,G2,AC_002,AC_160,15L,,,,,,,
8,G1,AC_002,AC_160,15R,,,,,,,
8,G2,AC_052,AC_133,16L,3,46.362,170,,3.02,,
8,G2,AC_156,AC_005,16R,,,,,3.69,,
8,G1,AC_165,AC_206,17L,,,,,,,
8,G1,AC_150,AC_110,17R,5,29.393,166,,1.94,,
8,G2,AC_150,AC_200,18L,,,,,,,
8,G2,AC_045,AC_123,18R,,,,,,,
8,G1,AC_161,AC_213,19L,,,,,,,
8,G1,AC_165,AC_062,19R,1,58.952,171,,4.31,,
8,G1,AC_124,AC_014,20L,,,,,,,
8,G2,AC_216,AC_058,20R,,,,,,,
8,G2,AC_054,AC_155,21L,,,,,,,
8,G1,AC_071,AC_115,21R,,,,,,,
8,G2,AC_047,AC_113,22L,1,32.228,169,,1.85,,
8,G1,AC_091,AC_189,22R,1,28.44,150,,2.79,,
8,G1,AC_008,AC_188,23L,,,,,,,
8,G2,AC_061,AC_052,23R,,,,,,,
8,G2,AC_091,AC_218,24L,5,27.846,151,alt method,2.39,,
8,G2,AC_002,AC_104,24R,,,,,,,
8,G2,AC_172,AC_208,25L,,,,,,,
8,G2,AC_015,AC_097,25R,,,,,,,
8,G2,AC_061,AC_158,26L,,,,,,,
8,G1,AC_159,AC_143,26R,,,,,,,
8,G2,AC_045,AC_096,27L,,,,,,,
8,G1,AC_150,AC_083,27R,,,,,,,
8,G2,AC_052,AC_133,28L,,,,,,,
8,G1,AC_168,AC_142,28R,,,,,,,
8,G2,AC_107,AC_130,29L,,,,,,,
8,G1,AC_008,AC_092,29R,,,,,,,
8,G1,AC_047,AC_152,30L,,,,,,,
8,G1,AC_124,AC_014,30R,,,,,,,
8,G1,AC_045,AC_151,31L,,,,,,,
8,G1,AC_068,AC_195,31R,,,,,,,
8,G2,AC_169,AC_120,32L,,,,,,,
8,G2,AC_124,AC_014,32R,,,,,,,
8,G1,AC_160,AC_015,33L,,,,,,,
8,G2,AC_045,AC_151,33R,,,,,,,
8,G2,AC_054,AC_119,34L,,,,,,,
8,G2,AC_161,AC_088,34R,,,,,,,
8,G1,AC_097,AC_064,35L,,,,,,,
8,G1,AC_169,AC_182,35R,,,,,,,
8,G1,AC_172,AC_111,36L,,,,,,,
8,G1,AC_150,AC_200,36R,3,49.031,176,,2.84,,
9,G2,AC_169,AC_182,1L,5,52.944,168,,3.28,,
9,G2,AC_216,AC_099,1R,,,,,,,
9,G2,AC_156,AC_090,2L,3,52.109,166,,3.13,,
9,G1,AC_091,AC_218,2R,1,57.181,159,,3.17,,
9,G1,AC_094,AC_217,3L,5,60.849,171,,3.48,,
9,G2,AC_015,AC_097,3R,5,34.981,176,alt method,2.21,,
9,G1,AC_061,AC_158,4L,,,,,,,
9,G1,AC_124,AC_100,4R,2,16.645,161,,0.73,,
9,G1,AC_170,AC_118,5L,,,,,,,
9,G1,AC_015,AC_097,5R,2,54.141,167,alt method,3.93,,
9,G1,AC_103,AC_201,6L,4,18.423,159,alt method,1.61,,
9,G1,AC_198,AC_066,6R,2,26.702,162,,1.83,,
9,G1,AC_172,AC_040,7L,,,,,5.34,,
9,G1,AC_172,AC_208,7R,,,,,,,
9,G2,AC_089,AC_032,8L,1,18.7,162,,1.4,,
9,G2,AC_039,AC_168,8R,,,,,,,
9,G2,AC_124,AC_100,9L,,,,,,,
9,G1,AC_150,AC_110,9R,5,22.487,165,,2.02,,
9,G1,AC_160,AC_015,10L,1,19.045,166,,1.09,,
9,G1,AC_054,AC_155,10R,3,46.067,164,,3.11,,
9,G2,AC_160,AC_015,11L,2,22.067,162,alt method,1.67,,
9,G2,AC_103,AC_154,11R,1,66.21,158,,4.90,,
9,G2,AC_071,AC_115,12L,,,,,,,
9,G2,AC_008,AC_092,12R,1,40.816,147,,4.04,,
9,G2,AC_002,AC_122,13L,1,26.837,165,,1.76,,
9,G2,AC_186,AC_048,13R,1,19.568,150,alt method,1.81,,
9,G2,AC_096,AC_074,14L,,,,,,,
9,G2,AC_177,AC_211,14R,5,26.982,158,,1.51,,
9,G2,AC_091,AC_218,15L,3,28.272,174,,1.34,,
9,G1,AC_159,AC_143,15R,,,,,,,
9,G2,AC_207,AC_082,16L,,,,,,,
9,G1,AC_047,AC_152,16R,,,,,,,
9,G2,AC_186,AC_153,17L,,,,,,,
9,G2,AC_124,AC_030,17R,,,,,,,
9,G1,AC_159,AC_192,18L,,,,,,,
9,G2,AC_198,AC_051,18R,,,,,,,
9,G1,AC_156,AC_090,19L,,,,,,,
9,G2,AC_125,AC_095,19R,,,,,,,
9,G1,AC_165,AC_199,20L,,,,,,,
9,G2,AC_103,AC_201,20R,,,,,,,
9,G1,AC_216,AC_034,21L,,,,,,,
9,G2,AC_207,AC_070,21R,,,,,,,
9,G2,AC_165,AC_062,22L,,,,,,,
9,G2,AC_094,AC_217,22R,,,,,,,
9,G1,AC_007,AC_081,23L,,,,,,,
9,G2,AC_002,AC_122,23R,,,,,,,
9,G2,AC_159,AC_143,24L,,,,,,,
9,G1,AC_045,AC_096,24R,,,,,,,
9,G1,AC_054,AC_155,25L,4,59.798,172,,3.55,,
9,G1,AC_168,AC_010,25R,,,,,,,
9,G2,AC_008,AC_092,26L,,,,,,,
9,G2,AC_160,AC_186,26R,,,,,,,
9,G1,AC_160,AC_015,27L,4,20.546,172,,1.17,,
9,G2,AC_195,AC_193,27R,,,,,,,
9,G2,AC_169,AC_075,28L,,,,,,,
9,G1,AC_195,AC_193,28R,,,,,,,
9,G1,AC_096,AC_128,29L,4,13.521,160,,0.23,,
9,G2,AC_195,AC_179,29R,,,,,,,
9,G2,AC_015,AC_097,30L,5,17.44,169,,1.27,,
9,G2,AC_179,AC_136,30R,,,,,,,
9,G1,AC_179,AC_136,31L,,,,,,,
9,G2,AC_124,AC_014,31R,,,,,,,
9,G2,AC_008,AC_188,32L,,,,,,,
9,G1,AC_052,AC_133,32R,,,,,,,
9,G1,AC_007,AC_081,33L,,,,,,,
9,G2,AC_103,AC_201,33R,,,,,,,
9,G1,AC_047,AC_113,34R,,,,,,,
