188	296	325	4	-99	298.9492119
189	296	325	10	-99	273.5694823
190	296	325	3	-99	292.0833333
194	297	327	10	-99	242.6940639
195	297	328	4	-99	295.320197
196	297	328	10	-99	260.6299213
197	297	329	4	-99	352.8813559
198	297	329	5	-99	366.2824207
199	297	329	6	-99	291.0973085
200	297	329	10	-99	437.3831776
201	298	330	4	-99	270.2819957
202	298	330	10	-99	335.1401869
205	298	331	4	-99	330.4812834
206	298	331	5	-99	300
207	298	331	6	-99	360.2631579
208	298	331	10	-99	367.1018277
209	298	332	6	-99	358.3050847
210	298	332	10	-99	251.9230769
211	299	333	4	-99	265
212	299	333	10	-99	373.6308316
214	299	334	4	-99	347.5460123
215	299	335	4	-99	287.8315133
219	300	336	4	-99	341.3897281
220	300	336	5	-99	367.8861789
221	300	336	10	-99	371.9817768
222	300	337	4	-99	288.9390519
223	300	337	6	-99	337.6163873
224	300	337	10	-99	227.1260997
226	300	338	4	-99	325.6329114
227	300	338	10	-99	253.6885246
231	301	340	4	-99	286.3945578
232	301	340	5	-99	303.0981067
233	301	340	3	-99	249.5207668
234	301	341	4	-99	285.2336449
235	301	341	10	-99	271.3012478
240	302	344	10	-99	362.4691358
241	303	345	4	-99	355.9766764
242	303	345	10	-99	247.9310345
243	303	345	3	-99	281.5972222
244	303	346	4	-99	279.0825688
245	303	346	10	-99	361.7260788
246	303	346	3	-99	345.2173913
247	303	348	10	-99	303.6111111
248	303	348	3	-99	326.6666667
250	304	349	5	-99	311.634349
251	304	349	6	-99	291.5865385
252	304	350	4	-99	270.6349206
253	304	350	10	-99	398.4732824
254	304	350	3	-99	281.6546763
256	305	351	4	-99	326.5168539
257	305	351	5	-99	372.8358209
258	305	352	4	-99	291.5966387
259	305	352	6	-99	322.1611722
260	305	352	10	-99	310.1899827
261	306	353	4	-99	293.7321937
262	306	353	5	-99	288.7640449
263	306	353	6	-99	296.039604
264	306	353	10	-99	304.2895442
265	306	354	4	-99	299.1735537
266	306	354	5	-99	288.2352941
267	306	354	10	-99	286.3247863
268	306	354	3	-99	248.4320557
269	306	355	4	-99	244.397463
270	306	355	6	-99	282.9646018
271	307	356	5	-99	292.3076923
272	307	357	4	-99	312.6530612
273	307	357	6	-99	258.3529412
274	307	357	10	-99	328.0075188
275	307	357	3	-99	247.5862069
276	307	358	5	-99	290.4656319
277	307	358	3	-99	305.8708415
279	308	359	4	-99	277.2815534
280	308	359	5	-99	283.7398374
281	308	359	3	-99	288.9250814
287	308	361	4	-99	365.1162791
288	308	361	5	-99	230.8148148
289	308	361	6	-99	388.9589905
290	308	361	10	-99	338.7024609
291	0	0	4	-99	-99
292	0	0	4	-99	-99
293	0	0	4	-99	-99
294	0	0	4	-99	-99
295	0	0	4	-99	-99
296	0	0	4	-99	-99
297	0	0	4	-99	-99
298	0	0	4	-99	-99
299	0	0	4	-99	-99
300	0	0	4	-99	-99
301	0	0	4	-99	-99
302	0	0	4	-99	-99
303	0	0	4	-99	-99
304	0	0	4	-99	-99
305	0	0	4	-99	-99
306	0	0	4	-99	-99
307	0	0	4	-99	-99
308	0	0	4	-99	-99
309	0	0	4	-99	-99
310	0	0	4	-99	-99
311	0	0	4	-99	-99
312	0	0	4	-99	-99
313	0	0	4	-99	-99
314	0	0	4	-99	-99
315	0	0	4	-99	-99
316	0	0	4	-99	-99
317	0	0	4	-99	-99
318	0	0	4	-99	-99
319	0	0	4	-99	-99
320	0	0	4	-99	-99
321	0	0	4	-99	-99
322	0	0	4	-99	-99
323	0	0	4	-99	-99
324	0	0	4	-99	-99
325	0	0	4	-99	-99
326	0	0	4	-99	-99
327	0	0	4	-99	-99
328	0	0	4	-99	-99
329	0	0	4	-99	-99
330	0	0	4	-99	-99
331	0	0	4	-99	-99
332	0	0	4	-99	-99
333	0	0	4	-99	-99
334	0	0	4	-99	-99
335	0	0	4	-99	-99
336	0	0	4	-99	-99
337	0	0	4	-99	-99
338	0	0	4	-99	-99
339	0	0	4	-99	-99
340	0	0	4	-99	-99
341	0	0	4	-99	-99
342	0	0	4	-99	-99
343	0	0	4	-99	-99
344	0	0	4	-99	-99
345	0	0	4	-99	-99
346	0	0	4	-99	-99
347	0	0	4	-99	-99
348	0	0	4	-99	-99
349	0	0	4	-99	-99
350	0	0	4	-99	-99
351	0	0	4	-99	-99
352	0	0	4	-99	-99
353	0	0	4	-99	-99
354	0	0	4	-99	-99
355	0	0	4	-99	-99
356	0	0	4	-99	-99
357	0	0	4	-99	-99
358	0	0	4	-99	-99
359	0	0	4	-99	-99
360	0	0	4	-99	-99
361	0	0	4	-99	-99
0					
