Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,mean_seed_mass_mg,corolla_diam_mm,photo_date,leaf_area_mm2,leaf_dryweight_mg,SLA,d13C,sample_weight_mg,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2023,G2,1,2,AC_071,AC_215,5,TRUE,2L,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,NA,2023-05-12,NA,NA,NA,12.06,X,1,0,0,0,1,0,0,NA,21.664,2023-04-28,71.264,3.2,22.269999999999996,-32.2,2.19,1,1,1,0
2023,G1,1,3,AC_089,AC_032,1,FALSE,3R,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.885,2023-04-28,74.933,4.3,17.426279069767443,-31.63,5.47,0,NA,NA,NA
2023,G1,1,3,AC_089,AC_032,2,TRUE,3R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,2023-04-28,NA,NA,NA,59.42,-,8,1,20,35,9,2.5,22.5,2.106666667,23.885,2023-04-28,74.933,4.3,17.426279069767443,-31.63,5.47,1,1,1,1
2023,G1,1,3,AC_089,AC_032,3,FALSE,3R,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.885,2023-04-28,74.933,4.3,17.426279069767443,-31.63,5.47,0,NA,NA,NA
2023,G1,1,3,AC_089,AC_032,4,FALSE,3R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.885,2023-04-28,74.933,4.3,17.426279069767443,-31.63,5.47,1,NA,NA,NA
2023,G1,1,3,AC_089,AC_032,5,FALSE,3R,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.885,2023-04-28,74.933,4.3,17.426279069767443,-31.63,5.47,1,NA,NA,NA
2023,G2,1,3,AC_091,AC_189,1,FALSE,3L,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.132,2023-04-28,53.101,2.86,18.566783216783218,-32.94,3.02,1,NA,NA,NA
2023,G2,1,3,AC_091,AC_189,2,FALSE,3L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.132,2023-04-28,53.101,2.86,18.566783216783218,-32.94,3.02,0,NA,NA,NA
2023,G2,1,3,AC_091,AC_189,3,FALSE,3L,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,2023-05-12,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.132,2023-04-28,53.101,2.86,18.566783216783218,-32.94,3.02,1,NA,NA,NA
2023,G2,1,3,AC_091,AC_189,4,FALSE,3L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.132,2023-04-28,53.101,2.86,18.566783216783218,-32.94,3.02,0,NA,NA,NA
2023,G2,1,3,AC_091,AC_189,5,TRUE,3L,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,2023-05-12,NA,NA,NA,7.84,X,4,0,6,11,4,1.5,6,0.77,18.132,2023-04-28,53.101,2.86,18.566783216783218,-32.94,3.02,1,1,1,1
2023,G2,1,4,AC_089,AC_032,1,FALSE,4R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,2023-05-12,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.498,4.95,16.06020202020202,-31.74,1.98,1,NA,NA,NA
2023,G2,1,4,AC_089,AC_032,2,TRUE,4R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,2023-05-12,NA,NA,NA,4.4,X,1,2,0,3,3,0,0,NA,NA,NA,79.498,4.95,16.06020202020202,-31.74,1.98,1,1,1,0
2023,G2,1,4,AC_089,AC_032,3,FALSE,4R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.498,4.95,16.06020202020202,-31.74,1.98,1,NA,NA,NA
2023,G2,1,4,AC_089,AC_032,4,FALSE,4R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.498,4.95,16.06020202020202,-31.74,1.98,1,NA,NA,NA
2023,G2,1,4,AC_089,AC_032,5,FALSE,4R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.498,4.95,16.06020202020202,-31.74,1.98,1,NA,NA,NA
2023,G1,1,4,AC_198,AC_072,1,FALSE,4L,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,2023-05-12,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.225,2023-04-28,32.812,1.54,21.306493506493503,-32.23,3.5,1,NA,NA,NA
2023,G1,1,4,AC_198,AC_072,2,FALSE,4L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.225,2023-04-28,32.812,1.54,21.306493506493503,-32.23,3.5,0,NA,NA,NA
2023,G1,1,4,AC_198,AC_072,3,FALSE,4L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.225,2023-04-28,32.812,1.54,21.306493506493503,-32.23,3.5,0,NA,NA,NA
2023,G1,1,4,AC_198,AC_072,4,TRUE,4L,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,2023-05-12,NA,NA,NA,9.11,-,9,2,1,9,11,0.1111111111,1.222222222,1.2,18.225,2023-04-28,32.812,1.54,21.306493506493503,-32.23,3.5,1,1,1,1
2023,G1,1,4,AC_198,AC_072,5,FALSE,4L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.225,2023-04-28,32.812,1.54,21.306493506493503,-32.23,3.5,0,NA,NA,NA
2023,G1,1,5,AC_054,AC_119,1,FALSE,5R,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.18,2023-04-28,42.984,3.45,12.459130434782608,-31.52,5.14,1,NA,NA,NA
2023,G1,1,5,AC_054,AC_119,2,FALSE,5R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.18,2023-04-28,42.984,3.45,12.459130434782608,-31.52,5.14,1,NA,NA,NA
2023,G1,1,5,AC_054,AC_119,3,TRUE,5R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,NA,2023-05-12,NA,2,NA,38.66,-,7,3,9,25,10,1.285714286,12.85714286,1.732222222,22.18,2023-04-28,42.984,3.45,12.459130434782608,-31.52,5.14,1,1,1,1
