Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,mean_seed_mass_mg,corolla_diam_mm,photo_date,leaf_area_mm2,leaf_dryweight_mg,SLA,d13C,sample_weight_mg,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2023,G1,1,2,HR_189,HR_051,2,FALSE,2L,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.898,2024-04-05,74.038,4.22,17.544549763033174,-30,4.06,1,NA,NA,NA
2023,G1,1,2,HR_189,HR_051,3,FALSE,2L,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.898,2024-04-05,74.038,4.22,17.544549763033174,-30,4.06,1,NA,NA,NA
2023,G1,1,2,HR_189,HR_051,4,FALSE,2L,2022-11-10,2022-11-13,2024-04-05,512,509,2024-05-04,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.898,2024-04-05,74.038,4.22,17.544549763033174,-30,4.06,1,NA,NA,NA
2023,G1,1,2,HR_189,HR_051,5,TRUE,2L,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,2024-04-05,NA,NA,NA,58.64,-,9,2,19,31,11,2.111111111,23.22222222,2.068285714,22.898,2024-04-05,74.038,4.22,17.544549763033174,-30,4.06,1,1,1,1
2023,G2,1,3,HR_069,HR_108,1,TRUE,3R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,2024-04-20,NA,NA,NA,10.76,X,3,0,3,4,3,1,3,3.1725,16.511,2024-04-05,53.667,3.12,17.200961538461538,-29.87,3.28,1,1,1,1
2023,G2,1,3,HR_069,HR_108,2,FALSE,3R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.511,2024-04-05,53.667,3.12,17.200961538461538,-29.87,3.28,1,NA,NA,NA
2023,G2,1,3,HR_069,HR_108,3,FALSE,3R,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.511,2024-04-05,53.667,3.12,17.200961538461538,-29.87,3.28,0,NA,NA,NA
2023,G2,1,3,HR_069,HR_108,4,FALSE,3R,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.511,2024-04-05,53.667,3.12,17.200961538461538,-29.87,3.28,1,NA,NA,NA
2023,G2,1,3,HR_069,HR_108,5,FALSE,3R,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,NA,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.511,2024-04-05,53.667,3.12,17.200961538461538,-29.87,3.28,1,NA,NA,NA
2023,G2,1,3,HR_095,HR_178,1,FALSE,3L,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.678,2.2,17.58090909090909,-30.53,3.58,0,NA,NA,NA
