Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,sample_ID_SEG,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweights_mg_SEG,closed_fruits,open_fruits,filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,msm_all,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds,Cohort,Block,Replicated,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,days_germ2flower,corolla_area_mm2,corolla_area_mm2_SEG,sd_msm_all,est_fecundity_int,surv_to_germ,skel_dryweights_mg
2023,G1,1,6,AC_045,AC_123,2,TRUE,AC-123-G1-001-6R,6R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,60.99,60.99,13,1,33,56,14,2.538461538,35.53846154,1.325357143,22.462,2023-04-28,22.462,2023-04-28,NA,NA,62.037,4.43,14.003837471783296,NA,0.07140899785611812,NA,-31.86,4.37,-31.86,4.37,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.99
2023,G1,1,7,AC_124,AC_030,1,TRUE,AC-030-G1-001-7L,7L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,NA,NA,6,1,11,15,7,1.833333333,12.83333333,1.125454545,22.713,2023-04-28,22.713,2023-04-28,NA,NA,7.648,0.56,13.657142857142857,NA,0.07322175732217574,NA,-32.26,1.58,-32.26,1.58,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,7,AC_045,AC_151,1,TRUE,AC-151-G2-001-7R,7R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,1900-01-02,NA,50.18,50.18,10,2,25,28,12,2.5,30,2.572166667,17.346,2023-04-28,17.346,2023-04-28,NA,NA,52.991,2.95,17.963050847457627,NA,0.05566983072597233,NA,-32.24,5.23,-32.24,5.23,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.18
2023,G2,1,8,AC_007,AC_147,1,TRUE,AC-147-G2-001-8L,8L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,NA,NA,9,2,21,42,11,2.333333333,25.66666667,1.386666667,19.808,2023-04-28,19.808,2023-04-28,NA,NA,77.409,5.28,14.660795454545456,NA,0.06820912297019725,NA,-32.17,3,-32.17,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,8,AC_007,AC_147,2,TRUE,AC-147-G1-001-8R,8R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,NA,NA,8,2,18,49,10,2.25,22.5,1.609625,NA,NA,NA,NA,NA,NA,68.024,4.37,15.566132723112128,NA,0.06424203222392097,NA,-32.28,5.15,-32.28,5.15,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,9,AC_064,AC_086,3,TRUE,AC-086-G1-001-9L,9L,2022-10-17,2022-10-21,2024-05-26,587,583,2024-05-26,0,NA,NA,NA,10.31,10.31,4,1,5,9,5,1.25,6.25,2.18,NA,NA,23.718,2023-04-28,NA,NA,53.328,2.83,18.84381625441696,NA,0.05306780678067806,NA,-32.01,5.07,-32.01,5.07,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.31
2023,G1,1,9,AC_068,AC_089,3,TRUE,AC-089-G1-001-9R,9R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,8.44,8.44,4,0,5,8,4,1.25,5,2.3025,17.596,2023-05-12,17.596,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,-30.46,3.16,-30.46,3.16,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.44
2023,G2,1,10,AC_052,AC_212,4,TRUE,AC-212-G2-001-10L,10L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,1900-01-01,NA,16.29,16.29,9,1,6,8,10,0.6666666667,6.666666667,3.12375,NA,NA,21.352,2023-04-28,NA,NA,26.799,1.58,16.96139240506329,NA,0.05895742378446957,NA,-32.19,5.26,-32.19,5.26,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.29
2023,G1,1,11,AC_195,AC_179,3,TRUE,AC-179-G1-001-11L,11L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,1900-01-01,NA,9.12,9.12,6,0,13,17,6,2.166666667,13,2.008333333,16.658,2023-04-28,16.658,2023-04-28,NA,NA,31.192,2.04,15.290196078431372,NA,0.06540138497050527,NA,-32.04,2.86,-32.04,2.86,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.12
2023,G2,1,11,AC_159,AC_192,1,TRUE,AC-192-G2-001-11R,11R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,4.26,4.26,3,1,9,10,4,3,12,1.595555556,NA,NA,16.547,2023-04-28,NA,NA,44.921,2.96,15.176013513513514,NA,0.06589345740299637,NA,-31.55,1.9,-31.55,1.9,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.26
2023,G2,1,12,AC_177,AC_107,2,TRUE,AC-107-G2-001-12L,12L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,7.37,7.37,3,1,3,4,4,1,4,2.465,17.503,2023-04-28,17.503,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,-33.49,4.27,-33.49,4.27,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.37
2023,G2,1,12,AC_008,AC_188,2,TRUE,AC-188-G2-001-12R,12R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,1900-01-01,NA,33.68,33.68,11,0,27,48,11,2.454545455,27,1.881772727,19.641,2023-04-28,19.641,2023-04-28,NA,NA,55.876,3.28,17.035365853658536,NA,0.05870141026558809,NA,-31.24,5.05,-31.24,5.05,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.68
2023,G1,1,13,AC_008,AC_068,3,TRUE,AC-068-G1-001-13L,13L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,1900-01-01,NA,19.84,19.84,7,1,14,31,8,2,16,2.113030303,17.393,2023-04-28,17.393,2023-04-28,NA,NA,62.007,3.14,19.747452229299363,NA,0.05063944393374942,NA,-31.92,5.69,-31.92,5.69,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.84
2023,G2,1,13,AC_068,AC_195,5,TRUE,AC-195-G2-001-13R,13R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,60.42,60.42,14,1,59,66,15,4.214285714,63.21428571,1.6227,18.37,2023-04-28,18.37,2023-04-28,NA,NA,53.057,3.06,17.33888888888889,NA,0.05767382249279077,NA,-31.71,4.07,-31.71,4.07,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.42
2023,G1,1,14,AC_216,AC_034,1,TRUE,AC-034-G1-001-14R,14R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,5.29,5.29,2,0,1,3,2,0.5,1,2.83,NA,NA,17.929,2023-04-28,NA,NA,85.437,5.43,15.734254143646409,NA,0.06355560237367885,NA,-31.77,1.23,-31.77,1.23,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.29
2023,G2,1,15,AC_159,AC_094,2,TRUE,AC-094-G2-001-15L,15L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,24.18,24.18,5,0,15,16,5,3,15,1.373333333,NA,NA,NA,NA,NA,NA,47.877,3.09,15.494174757281554,NA,0.0645403847358857,NA,-32.66,3.49,-32.66,3.49,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.18
2023,G2,1,15,AC_177,AC_107,4,TRUE,AC-107-G2-001-15R,15R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,NA,NA,56.29,56.29,17,3,83,111,20,4.882352941,97.64705882,1.633666667,NA,NA,NA,NA,NA,NA,71.451,4.43,16.128893905191873,NA,0.06200053183300444,NA,-32.45,5.7,-32.45,5.7,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.29
2023,G2,1,16,AC_165,AC_199,3,TRUE,AC-199-G2-001-16L,16L,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,8.85,8.85,4,0,11,14,4,2.75,11,1.258181818,18.992,2023-05-12,18.992,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,-32.78,3.85,-32.78,3.85,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85
2023,G2,1,17,AC_198,AC_066,2,TRUE,AC-066-G2-001-17R,17R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,2.48,2.48,5,0,12,15,5,2.4,12,1.688181818,NA,NA,18.403,2023-05-12,NA,NA,42.102,2.55,16.51058823529412,NA,0.0605671939575317,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48
2023,G1,1,18,AC_007,AC_081,3,TRUE,AC-081-G1-001-18L,18L,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,5.22,5.22,2,0,5,5,2,2.5,5,1.892,17.968,2023-05-12,17.968,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,-33.23,2.09,-33.23,2.09,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22
2023,G1,1,18,AC_186,AC_153,1,TRUE,AC-153-G1-001-18R,18R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,5.77,5.77,3,0,7,7,3,2.333333333,7,3.2585,20.32,2023-04-28,20.32,2023-04-28,NA,NA,40.655,2.52,16.13293650793651,NA,0.0619849956954864,NA,-32.22,2.46,-32.22,2.46,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.77
2023,G1,1,19,AC_054,AC_119,3,TRUE,AC-119-G1-001-19R,19R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,5.07,5.07,2,0,3,3,2,1.5,3,1.8475,NA,NA,NA,NA,NA,NA,29.212,1.43,20.42797202797203,NA,0.0489524852800219,NA,-33.05,2.47,-33.05,2.47,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07
2023,G2,1,19,AC_054,AC_155,1,TRUE,AC-155-G2-001-19L,19L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-04-28,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,20,AC_102,AC_178,3,TRUE,AC-178-G1-001-20R,20R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,2.77,2.77,4,0,17,18,4,4.25,17,1.430833333,20.833,2023-04-28,20.833,2023-04-28,NA,NA,18.762,0.93,20.174193548387095,NA,0.04956827630316598,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77
2023,G2,1,20,AC_161,AC_213,3,TRUE,AC-213-G2-001-20L,20L,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,2.01,17.161,2023-05-12,17.161,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,21,AC_186,AC_011,4,TRUE,AC-011-G2-001-21R,21R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,3.91,3.91,2,0,2,2,2,1,2,1.24,16.678,2023-04-28,16.678,2023-04-28,NA,NA,30.888,1.34,23.050746268656717,NA,0.04338254338254338,NA,-32.11,1.63,-32.11,1.63,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91
2023,G1,1,21,AC_008,AC_188,4,TRUE,AC-188-G1-001-21L,21L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,NA,NA,3,0,10,10,3,3.333333333,10,1.389761905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.93,3.48,-32.93,3.48,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,22,AC_165,AC_062,1,TRUE,AC-062-G2-001-22R,22R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,NA,NA,2,3,4,10,5,2,10,1.128333333,NA,NA,16.786,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,-32.19,4.94,-32.19,4.94,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,22,AC_052,AC_133,1,TRUE,AC-133-G1-001-22L,22L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-04-28,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,23,AC_156,AC_005,3,TRUE,AC-005-G2-001-23R,23R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,1900-01-01,NA,53.28,53.28,7,0,19,20,7,2.714285714,19,1.646583333,18.939,2023-04-28,18.939,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,-33.28,4.16,-33.28,4.16,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.28
2023,G2,1,23,AC_107,AC_130,5,TRUE,AC-130-G2-001-23L,23L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,1900-01-01,NA,NA,NA,1,3,0,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,24,AC_102,AC_178,5,TRUE,AC-178-G1-001-24R,24R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,1900-01-01,NA,39.96,39.96,7,0,43,60,7,6.142857143,43,1.062424242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.81,3.64,-31.81,3.64,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.96
2023,G1,1,24,AC_091,AC_218,3,TRUE,AC-218-G1-001-24L,24L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,1900-01-01,NA,29.66,29.66,2,0,3,3,2,1.5,3,2.463333333,18.695,2023-04-28,18.695,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,-31.44,3.96,-31.44,3.96,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.66
2023,G1,1,25,AC_177,AC_107,5,TRUE,AC-107-G1-001-25L,25L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,NA,NA,51.7,51.7,5,1,21,22,6,4.2,25.2,2.128571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.42,4.19,-32.42,4.19,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.7
2023,G1,1,25,AC_103,AC_154,3,TRUE,AC-154-G1-001-25R,25R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,2.16,2.16,5,2,14,19,7,2.8,19.6,1.786041667,21.969,2023-04-28,21.969,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16
2023,G1,1,26,AC_064,AC_086,2,TRUE,AC-086-G1-001-26L,26L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,NA,NA,NA,NA,3,0,7,17,3,2.333333333,7,1.301428571,NA,NA,NA,NA,NA,NA,35.89,1.86,19.29569892473118,NA,0.05182502089718585,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,26,AC_170,AC_118,5,TRUE,AC-118-G2-001-26R,26R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,10.43,10.43,3,0,11,12,3,3.666666667,11,1.379090909,19.486,2023-04-28,19.486,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,-32.13,2.54,-32.13,2.54,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.43
2023,G2,1,27,AC_160,AC_015,2,TRUE,AC-015-G2-001-27L,27L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,NA,NA,NA,NA,1,0,2,2,1,2,2,2.935,16.131,2023-04-28,16.131,2023-04-28,NA,NA,34.171,1.53,22.333986928104576,NA,0.04477480904860847,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,27,AC_103,AC_201,1,TRUE,AC-201-G2-001-27R,27R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-04-28,0,NA,NA,NA,3.4,3.4,0,2,0,0,2,NA,NA,NA,19.008,2023-04-28,19.008,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,-32.61,1.06,-32.61,1.06,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4
2023,G1,1,28,AC_091,AC_189,2,TRUE,AC-189-G1-001-28L,28L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,23.38,23.38,3,0,11,15,3,3.666666667,11,1.678333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.15,2.24,-32.15,2.24,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.38
2023,G1,1,29,AC_045,AC_123,5,TRUE,AC-123-G1-001-29L,29L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,1900-01-01,NA,NA,NA,2,2,1,2,4,0.5,2,2.48,NA,NA,NA,NA,NA,NA,62.279,3.64,17.109615384615385,NA,0.05844666741598291,NA,-32.5,4.88,-32.5,4.88,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,29,AC_172,AC_208,4,TRUE,AC-208-G1-001-29R,29R,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,2.42,2.42,0,2,0,0,2,NA,NA,NA,NA,NA,20.66,2023-04-28,NA,NA,26.614,1.66,16.03253012048193,NA,0.0623731870444127,NA,-32.17,1.47,-32.17,1.47,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42
2023,G1,1,30,AC_054,AC_119,5,TRUE,AC-119-G1-001-30L,30L,2022-10-17,2022-10-21,2024-05-26,587,583,2024-05-26,0,NA,1900-01-01,NA,NA,NA,2,0,2,2,2,1,2,5.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
