ID	Block	Pop	CrossPop	SurvWin1	ReprS1	TotFr1	Seed1	Samp1	FruitSeed1	FruitSeedcr1	FruitSeedR1	SurvWin2	ReprS2	TotFr2	Seed2	Samp2	FruitSeed2	FruitSeedcr2	FruitSeedR2	SurvWin3	ReprS3	TotFr3	Seed3	Samp3	FruitSeed3	FruitSeedcr3	FruitSeedR3
630	S5	D	DB	1	1	13	9	3	39	3.391211443	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
632	S5	D	DB	1	1	70	2	3	46.66666667	3.600274328	47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
633	S5	A	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
634	S5	D	DB	1	1	32	18	3	192	5.768998281	192	1	1	16	13	3	69.33333333	4.108160098	69	1	1	29	19	3	183.6666667	5.684297262	184
636	S5	D	DA 	1	1	25	15	3	125	5	125	1	1	27	52	3	468	7.763936077	468	1	1	15	7	3	35	3.27106631	35
637	S5	D	DA 	1	1	40	29	3	386.6666667	7.285268765	387	1	1	11	14	3	51.33333333	3.716491598	51	1	1	28	7	3	65.33333333	4.027587079	65
638	S5	D	DB	1	1	14	13	3	60.66666667	3.929313778	61	1	1	6	12	3	24	2.884499141	24	1	1	10	7	3	23.33333333	2.857539627	23
639	S5	D	DA 	1	1	18	4	3	24	2.884499141	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
640	S5	D	DB	1	1	18	9	3	54	3.77976315	54	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
642	S5	D	DA 	1	1	22	15	3	110	4.791419857	110	1	0	0	0	0	0	0	0	1	1	7	6	3	14	2.410142264	14
643	S5	D	DB	1	1	32	13	3	138.6666667	5.175957385	139	1	0	0	0	3	0	0	0	1	1	12	12	3	48	3.634241186	48
645	S5	A	A	1	1	4	43	3	57.33333333	3.855988506	57	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
646	S5	D	DB	1	1	40	12	3	160	5.428835233	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
650	S5	D	DB	1	1	45	18	3	270	6.46330407	270	1	1	20	4	3	26.66666667	2.987603164	27	1	1	33	7	3	77	4.254320865	77
651	S5	D	DB	1	1	22	9	3	66	4.041240021	66	1	1	8	2	3	5.333333333	1.747160929	5	1	0	0	0	3	0	0	0
652	S5	A	A	1	1	12	16	3	64	4	64	1	1	5	66	3	110	4.791419857	110	1	0	0	0	0	0	0	0
653	S5	B	B	1	1	29	21	3	203	5.877130659	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
655	S5	C 	CA	1	1	14	15	3	70	4.1212853	70	1	1	10	12	3	40	3.419951893	40	1	1	6	10	3	20	2.714417617	20
656	S5	D	DB	1	1	22	34	3	249.3333333	6.294000615	249	1	1	11	15	3	55	3.802952461	55	1	1	10	1	3	3.333333333	1.493801582	3
657	S5	D	DA 	1	1	7	26	3	60.66666667	3.929313778	61	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
660	S5	A	A	1	1	9	26	3	78	4.272658682	78	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
661	S5	D	DB	1	1	82	20	3	546.6666667	8.17662721	547	1	1	15	4	3	20	2.714417617	20	1	1	16	3	3	16	2.5198421	16
663	S5	D	DA 	1	1	8	21	3	56	3.825862366	56	1	1	8	6	3	16	2.5198421	16	1	1	13	7	3	30.33333333	3.118698412	30
667	S5	D	DB	1	1	36	19	3	228	6.109114744	228	1	0	0	0	3	0	0	0	1	1	14	6	3	28	3.036588972	28
668	S5	B	B	1	1	18	22	3	132	5.09164337	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
