Pop	FamFixed	Fam	Seed	Rep	Row	Col	Surv306	BoltDate	FlowerDate	Diam1_306	Diam2_306	Area_306	ShootHt306	S06TotalShoots	S06TotalShootsZ	S06Flowered	S06SampledShoots	AfterColl(1/0)	S06AdjSiliques	S06TotalSiliques	S06CollSiliques	S06SilPerShoot	S06Seeds	S06SeedPerSil	S06SeedWt	S06WtPer100	ReprodOutput	ReprodOutputZ	CollDate	Surv606	Shoots606	Flowering606	Diam1_606	Diam2_606	Area_606	dDiam1	dDiam2	dArea	Surv1106	Diam1_1206	Diam2_1206	Final
S	S	S4	16	R2	7	I	1	38789	38803	54	40	2160	27	1	1	1	1		6	6	6	6	92	15.33333333	14.4	15.65217391	92	92	38826	1	1	1	91	88	8008	37	48	5848	1	54	37	799
S	S	S5	1	R6	16	AG	1	38783	38783	66	52	3432	8	1	1	1	1		1	1	10	1	46	4.6	7	15.2173913	4.6	4.6	38826	1	0	0	70	60	4200	4	8	768	0			800
S	S	S5	2	R6	27	AH	1	38783	38821	62	59	3658	28																	0									0			801
S	S	S5	3	R6	12	AF	1	38783		64	60	3840			0	0												0		1			80	70	5600	16	10	1760	0			802
S	S	S5	4	R2	20	J	1	38803		31	30	930			0	0												0		1	0	0	49	48	2352	18	18	1422	1	35	19	803
S	S	S5	5	R5	4	Y	1			44	42	1848			0	0												0		1	0	0	40	30	1200	-4	-12	-648	0			804
S	S	S5	6	R5	20	Z	1	38783		39	36	1404			0	0		1										0	38881	1	0	0	30	20	600	-9	-16	-804	0			805
S	S	S5	7	R2	10	I	1	38789	38811	42	40	1680	27		0	0												0		1	0	0	56	45	2520	14	5	840	0			806
S	S	S5	8	R5	7	Y	1	38798		52	46	2392			0	0												0		1	0	0	40	30	1200	-12	-16	-1192	0			807
S	S	S5	9	R5	11	Y	1	38783	38811	58	47	2726	15		0	0												0		1	0	0	0	0	0	-58	-47	-2726	0			808
S	S	S5	10	R7	9	AL	1	38805		43	39	1677			0	0												0		1	0	0	60	50	3000	17	11	1323	0			809
S	S	S5	11	R7	16	AM	1	38789	38824	52	63	3276	29		0	0												0		1	0	0	70	50	3500	18	-13	224	0			810
S	S	S5	12	R8	14	AT	1	38798		42	38	1596			0	0												0		1	0	0	88	74	6512	46	36	4916	0			811
S	S	S5	13	R7	5	AL	1	38789	38803	45	43	1935	10		0	0												0		1	0	0	50	30	1500	5	-13	-435	0			812
S	S	S5	14	R7	18	AN	1	38783	38798	49	51	2499	15		0	0												0		1	0	0	0	0	0	-49	-51	-2499	0			813
S	S	S5	15	R8	13	AQ	1	38783		34	32	1088			0	0												0		1	0	0	0	0	0	-34	-32	-1088	0			814
S	S	S5	16	R8	16	AT	1	38783	38811	45	43	1935	18		0	0												0		1	0	0	82	76	6232	37	33	4297	0			815
S	S	S5	17	R8	22	AT	0																							0									0			816
S	S	S5	18	R1	1	B	1	38786	38789	28	22	616	21	1	1	1	1		16	16	7	16	43	6.142857143	3.1	7.209302326	98.28571429	98.28571429	38826	1	0	0	55	38	2090	27	16	1474	0			817
S	S	S5	19	R2	16	J	1			36	27	972			0	0												0		1	0	0	34	29	986	-2	2	14	0			818
S	S	S5	20	R1	7	D	1	38783	38789	54	48	2592	29	1	1	1	1		12	12	3	12	33	11	3.5	10.60606061	132	132	38849	1	0	0	77	68	5236	23	20	2644	0			819
S	S	S5	21	R1	21	A	1	38789		38	28	1064			0	0												0		1	0	0	25	22	550	-13	-6	-514	0			820
S	S	S5	22	R2	3	J	1	38796		49	35	1715			0	0												0		1	0	0	44	41	1804	-5	6	89	0			821
S	S	S5	23	R4	8	T	1	38786	38811	79	57	4503	24	16	16	1	3	1	31	30	6	10.33333333	45	7.5	3.3	7.333333333	1240	1240	38875	1	0	0	62	60	3720	-17	3	-783	1	120	85	822
S	S	S5	24	R4	10	T	1			50	46	2300																	38855	0									0			823
S	S	S5	25	R4	1	U	1	38793	38824	40	32	1280	37		0	0												0		1	0	0	62	54	3348	22	22	2068	0			824
