"","Donor","BV_AC22","BV_AC23"
"1","002",3.80861934513379,4.77269039972176
"2","007",4.38109286431034,5.65814883204599
"3","008",3.00131018426533,4.69622714078274
"4","015",5.44230267770604,5.07709935945769
"5","039",2.41048165788478,4.2692103618218
"6","045",2.280818786904,5.28272717389459
"7","047",2.24489360892306,4.23804737365421
"8","052",3.17814064005048,4.22351149834323
"9","054",3.25806717415168,4.09123814334319
"10","061",3.13731336566501,4.1057958474433
"11","064",2.77836055466447,4.43426967639184
"12","068",2.71472513646233,6.23559830942059
"13","071",2.99680965868679,5.25685148674189
"14","089",2.81606976298844,4.90369211773428
"15","091",2.99961851352814,4.74183611675465
"16","094",3.94366805943278,5.32401290348019
"17","096",2.61554822766723,4.4964320625593
"18","097",3.66075856996034,5.60108501616276
"19","102",2.45184633362317,5.25163211080747
"20","103",2.39079210731934,5.6703820222749
"21","107",2.83707882850423,4.62180452118925
"22","124",2.50799148469688,4.40893232163164
"23","125",2.52225472054984,5.07160332635511
"24","150",3.24193594802132,4.65198732484407
"25","156",2.38193842001752,4.12311378443544
"26","159",2.47555006940637,4.34421480569099
"27","160",2.52770935576295,5.44421153835852
"28","161",2.45014012489632,4.5027787694577
"29","165",3.11044746087639,5.04452307963365
"30","168",2.3603881032067,4.002714910695
"31","169",2.22739589887154,4.78767428849004
"32","170",3.4966987495579,5.18690069199948
"33","172",2.99608898589083,4.41531989663237
"34","177",3.50110839969466,4.89889357959258
"35","179",3.01660035023199,4.1165220303891
"36","186",3.48245294214062,4.91284208445142
"37","195",2.48057149997589,5.07850887672947
"38","198",2.29936632301222,4.45697126888291
"39","207",3.13861885135709,4.84558261097492
"40","216",2.84602663328927,5.44765031268077
