positionID,packID,row,group.position,position,maternalID,paternalID,planting.notes,presence1,leafnumber1,notes1,presence2,leafnumber2,notes2,presence3,leafnumber3,notes3,presence4,branch4,flowering4,munched4,notes4,presence5,flowering5,munched5,notes5,presence6,notes6,presence7,notes7,notes8,presence9,flowering9,crispy.pods9,green.pods9,ground.pods9,pods.on.plant9,seed.ct,ground.seed.ct,green.seed.ct,notes9
780,159,412,11,11.2,86,115,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
781,160,412,13,12.8,148,204,,1,2,,1,4,,1,7,,1,0,0,0,,1,1,0,,1,only stem remaining,1,,,1,1,4,0,0,0,39,NA,NA,
782,160,412,13,12.9,148,204,,1,2,,1,3,,1,5,,1,0,0,0,,1,1,0,,1,munched,1,,,1,1,0,0,0,0,NA,NA,NA,munched
783,160,412,13,13,148,204,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
784,160,412,13,13.1,148,204,,0,NA,,1,3,,1,4,,1,0,0,0,,1,1,0,,1,munched,1,,,1,1,0,0,0,0,NA,NA,NA,
785,160,412,13,13.2,148,204,,0,NA,,1,2,,1,3,,1,0,0,0,,1,1,0,,1,munched,1,,,1,1,0,0,0,0,NA,NA,NA,
786,161,412,15,14.8,84,99,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
787,161,412,15,14.9,84,99,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
788,161,412,15,15,84,99,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
789,161,412,15,15.1,84,99,,0,NA,,0,NA,,0,NA,,0,NA,NA,NA,,NA,NA,NA,,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,
